Popup;Enlarge;Panel
;;
14.70054;15.00098;14.90493
14.69834;14.99813;14.89605
14.69616;14.99132;14.88595
14.69441;14.98814;14.87666
14.69257;14.9871;14.86615
14.69081;14.9871;14.85409
14.68793;14.98138;14.84095
14.68549;14.98138;14.82669
14.68414;14.97744;14.81194
14.68175;14.97744;14.79584
14.67923;14.97026;14.77877
14.67552;14.96602;14.7622
14.67213;14.96117;14.74376
14.66784;14.96117;14.72434
14.66023;14.95607;14.70647
14.6398;14.94404;14.68514
14.6398;14.94404;14.66346
14.63439;14.91804;14.64393
14.63059;14.91112;14.62405
14.62697;14.90374;14.60428
14.62218;14896;14.58427
14.62218;14896;14.56671
14.61232;14.8795;14.54879
14.60452;14.87076;14532
14.59516;14.86247;14.51372
14.58186;14.8539;14.49633
14.54659;14.84502;14.4812
14.54659;14.83632;14.43196
14.52494;14.8283;14.43196
14.49938;14.82099;14.41521
14.47094;14.81417;14.39785
14.43964;14.81417;14.38101
14.40817;14.80703;14.34516
14.37814;14.79534;14.34516
14.35034;14.79534;14.32699
14.32371;14.78978;14.30812
14.29655;14.78376;14.2889
14.26834;14.77745;14.27135
14.21615;14.76978;14.23275
14.21615;14.75075;14.23275
14.19288;14745;14.21862
14.17086;14745;14.20246
14.14916;14.73392;14.18562
14.12876;14.73392;14.1728
14.06479;14.72174;14.13945
14.04309;14.72174;14.13945
14.04309;14.71039;14.12896
14.02098;14.70683;14.09665
13.99765;14.70403;14.09665
13.94806;14.69794;14.08381
13.91923;14.69616;14.05019
13.91923;14.69616;14.05019
13.89409;14.69499;14.03805
13.87251;14.69499;14.02045
13.85544;14.69592;14.00133
13.82159;14.70543;13.98476
13.82159;14.71016;13.94453
13.8087;14.71188;13.94453
13.79225;14.71194;13.93172
13.77635;14.71194;13.9141
13.76394;14.71412;13.88172
13.73412;14.71967;13.88172
13.73412;14.73431;13.84887
13.72467;14.73431;13.83744
13.71124;14.74266;13.83744
13.69776;14.75233;13.82674
13.68292;14.7779;13.81168
13.62154;14.79201;13.79659
13.62154;14.79201;13.79659
13.60605;14.80621;13.78047
13.58834;14.83317;13.77384
13.55271;14.84608;13.76052
13.55271;14.85823;13.76052
13.63716;14.87059;13.73953
13.62186;14.87059;13.73953
13.64496;14.87986;13.72713
13.61794;14.8874;13.71993
13.61794;14.89757;13.71185
13645;14.89995;13.69963
13.63437;14.90083;13.68934
13.6238;14.90083;13.66877
13.61324;14.89889;13.66877
13.64763;14.89798;13.65818
13.63609;14.89158;13.6472
13.62914;14.88886;13.63882
13.61551;14.88886;13.62809
13.60155;14.88749;13.6059
13.58424;14.88659;13.6059
13.56943;14.88477;13.59576
13.55436;14.88275;13.58331
13.53936;14.88178;13.56021
13.53936;14.88178;13.54739
13.50368;14.88144;13.53598
13.49098;14.8795;13.53598
13.44696;14.8795;13.52285
13.43542;14.87961;13.50974
13.42396;14.87961;13.49566
13.41779;14.87964;13.46218
13.40691;14.87913;13.4458
13.39834;14.87727;13.4458
13.38701;14.87718;13.42986
13.36141;14.87735;13.41485
13.34948;14.87715;13.40222
13.3372;14.87681;13.37393
13.31644;14.87641;13.36183
13.31644;14.87641;13.36183
13.30354;14.87689;13.34833
13.29388;14.8771;13.33419
13.28087;14.87918;13.30587
13.26978;14.87918;13.29112
13.25727;14.87951;13.29112
13.24486;14.88049;13.27647
13.23234;14.88085;13.24747
13.21569;14.88116;13.24747
13.20317;14.88228;13.22261
13.19076;14.88261;13.22261
13.17009;14.88293;13.20856
13.15914;14.88293;13.19333
13.15914;14.88781;13.17842
13.14615;14.89126;13.16412
13.13348;14.89126;13.15056
13.11952;14.89598;13.12321
13.10832;14.89598;13.12321
13.08676;14.8972;13.10925
13.08676;14.89965;13.08178
13.07618;14.90107;13.08178
13.06395;14.90247;13.05534
13.05392;14.90536;13.05534
13.02347;14.90658;13.04431
13.01294;14.90752;13.03291
13.00228;14.90887;13.00648
