Popup;Enlarge;Panel
;;
14.81033;14.8012;14.82032
14.79927;14.79481;14.80148
14.78832;14.78871;14.78195
14.77785;14.78246;14.76147
14.76732;14.77576;14.74154
14.75689;14.7673;14.72264
14.73628;14.75726;14.70486
14.72597;14.74849;14.6874
14.72597;14.73997;14.65622
14.71531;14.73215;14.64221
14.70519;14.72555;14.6258
14.68353;14.71765;14.61419
14.68353;14.70963;14.60303
14.67213;14.70294;14.59204
14.66235;14.69295;14.58151
14.65058;14.68077;14.5723
14.63493;14.66895;14.56518
14.61272;14.65398;14.5572
14.61272;14.63718;14.54871
14.59895;14.62115;14.52921
14.58639;14.60362;14.52921
14.57434;14.58508;14.52921
14.55976;14.56596;14.51829
14.53509;14.54669;14.50964
14.53509;14.52642;14.50054
14.52397;14.5044;14.49184
14.51264;14.5044;14.48335
14.50132;14.46504;14.47453
14.49144;14.44686;14.46784
14.47217;14.42738;14.45695
14.47217;14.40677;14.45695
14.46294;14.38907;14.43699
14.45527;14.3714;14.41324
14.4475;14.35396;14.41324
14.43807;14.33798;14.40176
14.43094;14.32097;14.38904
14.42435;14.30364;14.37653
14.41795;14.28541;14.36246
14.41145;14.24749;14.34781
14.40647;14.24749;14.33139
14.40564;14.22834;14.3145
14.40464;14.20923;14.29807
14.40464;14.19047;14.2843
14.40919;14.17003;14.25933
14.40981;14.13088;14.25933
14.40923;14.13088;14.25506
14.40702;14.10907;14.25253
14.40062;14.08722;14.25147
14.39588;14.06563;14.25522
14.39844;14.04523;14.26426
14.39526;14.0258;14.27659
14.3929;14.00618;14.28584
14.39547;13.98682;14.29959
14.38803;13.96786;14.31302
14.38803;13.94923;14.3188
14.38445;13.93301;14.33877
14.38012;13.91771;14.33877
14.37594;13.9048;14.34116
14.37188;13.89285;14.34672
14.36699;13.8801;14.35127
14.36168;13.86726;14.35409
14.35689;13.85758;14354
14.35287;13.82103;14354
14.34967;13.82103;14.36004
14.35111;13.8084;14.35643
14.34994;13.79607;14.35764
14.34882;13.78379;14.35441
14.35035;13.77058;14.33383
14.34764;13.75893;14.33383
14.34457;13.74918;14.32686
14.34166;13.74049;14.31915
14.33358;13.73216;14.29885
14.33358;13.72369;14.28657
14.32718;13.71589;14.27269
14.32043;13.70644;14.25772
14.31293;13.70108;14.25772
14.30461;13.69672;14.20759
14.29552;13.68981;14.20759
14.28433;13.68585;14.18771
14.27113;13.68083;14.16686
14.25637;13.67344;14.14345
14.24114;13.66643;14.11829
14.22245;13.6584;14.06825
14.20472;13.64814;14.06825
14.18715;13.63984;14.04269
14.16933;13.62153;14.01769
14.15205;13.62153;13.99264
14.13517;13.61005;13.96646
14.11969;13.59776;13.91876
14.08848;13.58061;13.89633
14.07514;13.56613;13.8782
14.07514;13.55067;13.8782
14.0607;13.5329;13.8523
14.03269;13.51697;13.84182
14.02197;13.50157;13.82408
14.01007;13.48606;13.81719
13.99827;13.45601;13.81719
13.98341;13.45601;13.81053
13.97299;13.44117;13.80175
13.96244;13.42645;13.78843
13.94966;13.41238;13.78843
13.93968;13.39911;13.78014
13.92999;13.38546;13.77421
13.92258;13.3568;13.76774
13.9127;13.3568;13.7515
13.90292;13.34298;13.74572
13.88452;13.32969;13.74572
13.88452;13.31682;13.73051
13.87575;13.29007;13.72083
13.86604;13.29007;13.71241
13.85565;13.27816;13.70566
13.84528;13.2639;13.70566
13.83429;13.25144;13.69705
