Popup;Enlarge;Panel
;;
14.91600;14.98067;14.22813
14.91418;14.98308;14.22122
14.91418;14.98394;14.2002
14.90844;14.98482;14.2002
14.90844;14.98564;14.19357
14.90452;14.98764;14.18208
14.89386;14.98831;14.16622
14.88751;14.98852;14.1544
14.88751;14.98942;14.12915
14.87336;14.9829;14.12915
14.86555;14.98264;14.12414
14.85739;14.98107;14.10951
14.85739;14.98054;14.09424
14.8389;14.98152;14.08188
14.8389;14.98107;14.04903
14.81695;14.9789;14.04903
14.80486;14.97603;14.04933
14.79239;14.97571;14.03113
14.79239;14.9726;14.0138
14.76639;14.97388;13.99017
14.76639;14.97185;13.96112
14.75107;14.97001;13.96112
14.73618;14.97105;13.94212
14.7057;14.97276;13.92867
14.7057;14.98118;13.91545
14.6744;14.98889;13.90352
14.65924;15.00994;13.88075
14.64373;15.01913;13.88075
14.64373;15.04023;13.87004
14.61249;15.04913;13.86096
14.61249;15.06624;13.85298
14.58482;15.07132;13.84363
14.58482;15.07877;13.8315
14.57294;15.08245;13.8315
14.55958;15.08525;13.82422
14.54685;15.08859;13.81969
14.53674;15.08914;13.80677
14.4959;15.08913;13.80677
14.48602;15.09008;13.79659
14.48602;15.09086;13.79659
14.4677;15.09091;13.78857
14.4677;15.09125;13.78322
14.4591;15.09336;13.77693
14.44807;15.09407;13.76664
14.43962;15.09448;13.75386
14.43191;15.09249;13.75386
14.41600;15.09209;13.74869
14.41600;15.09247;13.74313
14.41019;15.0917;13.73684
14.40044;15.09219;13.72991
14.39400;15.09294;13.70341
14.38737;15.0936;13.70341
14.37267;15.10278;13.69719
14.37267;15.10512;13.69594
14.36799;15.11443;13.68917
14.36425;15.12103;13.6816
14.36054;15.13406;13.67597
14.35638;15.14216;13.66747
14.34627;15.1569;13.65785
14.34627;15.1666;13.64800
14.34031;15.1737;13.63695
14.33676;15.18644;13.62523
14.32175;15.19307;13.61394
14.32175;15.19634;13.60017
14.30365;15.20203;13.58618
14.30365;15.20738;13.57261
14.29269;15.21349;13.55629
14.28108;15.2166;13.53905
14.27078;15.21897;13.52325
14.25766;15.22272;13.50586
14.23216;15.22402;13.48801
14.23216;15.2272;13.4712
14.21626;15.22865;13.45067
14.20074;15.22847;13.42973
14.16528;15.23056;13.41403
14.16528;15.23043;13.39541
14.12856;15.2278;13.37866
14.12856;15.22697;13.3637
14.10909;15.22608;13.34803
14.07498;15225;13.33458
14.07498;15.22348;13.31981
14.05791;15.22329;13.30548
14.00336;15.22354;13.29168
13.99317;15.22412;13.28021
13.98137;15.22499;13.26863
13.9702;15.22499;13.23417
13.96283;15.22508;13.22334
13.96283;15.22462;13.20105
13.95279;15.22446;13.20105
13.94246;15.22446;13.18212
13.93175;15.22353;13.18212
13.90886;15.22356;13.17414
13.90886;15.22409;13.16617
13.88523;15.22368;13.15659
13.88523;15.22375;13.14924
13.87402;15.2233;13.14179
13.86276;15.22194;13.13443
13.85176;15.22104;13.12784
13.83041;15.22181;13.12261
13.83041;15.22181;13.11639
13.81921;15.22244;13.10944
13.80836;15.22244;13.10253
13.79752;15.22586;13.09549
13.78711;15.22683;13.08783
13.77655;15.22683;13.0807
13.75797;15.22731;13.07041
13.74934;15.22806;13.06309
13.74934;15.22864;13.04744
13.73797;15.22864;13.04744
13.72871;15.22993;13.04444
13.70723;15.22993;13.03451
13.69541;15.23066;13.02595
13.69541;15.23128;13.01355
13.68245;15.23128;12.98698
13.66881;15.23349;12.98698
13.65381;15.23349;12.97357
13.63822;15.23442;12.95705
13.60361;15.23496;12.93954
13.60361;15.23681;12.92398
13.58194;15.23765;12.8611
