Popup;Enlarge;Panel
;;
15.01052;14.89291;14.80487
14.99671;14.89393;14.79663
14.98855;14.89395;14.79663
14.98023;14.89286;14.79663
14.97143;14.89187;14.79236
14.96111;14.8893;14.79052
14.92635;14.88543;14.78862
14.92635;14.88025;14.78852
14.91321;14.87459;14.78843
14.89858;14.86789;14.78416
14.88301;14.85955;14.78067
14.86709;14.84941;14.78067
14.84993;14.82753;14.77441
14.83133;14.81503;14.77249
14.81209;14.81503;14.77087
14.79253;14.80102;14.76854
14.7725;14.7861;14.76548
14.7725;14.75252;14.76189
14.75299;14.75252;14.75771
14.72061;14.73337;14.75238
14.72061;14.71321;14.73826
14.70442;14.69311;14.73826
14.67454;14.67251;14.7341
14.67454;14.61308;14.73025
14.65818;14.61308;14.72581
14.64314;14.59579;14.72188
14.62845;14.57927;14.71787
14.61086;14.56417;14.71426
14.54618;14.54888;14.71173
14.54618;14.53387;14.70839
14.52883;14.51897;14.70552
14.51129;14.50439;14.70377
14.47439;14.49018;14.70168
14.47439;14.4739;14.69914
14.45712;14.4573;14.69759
14.4432;14.44103;14.69412
14.42522;14.42422;14.69412
14.40544;14.40719;14.69412
14.38448;14.38832;14.69386
14.36548;14.37137;14.69428
14.34656;14.35416;14.69428
14329;14.31651;14.69248
14.30982;14.29582;14.69208
14.29327;14.29582;14.69094
14.25599;14.27604;14.68983
14.25599;14.25805;14.68922
14.23779;14.22164;14.68841
14.21853;14.22164;14.68791
14.20046;14.20312;14.68786
14.18198;14.18307;14.68786
14.12083;14.16243;14.68794
14.12083;14.14214;14.6888
14.10014;14.08273;14.68818
14.07768;14.08273;14.68734
14.05703;14.06177;14.68597
14.03468;14.04012;14.68597
14.01242;14.01767;14.68448
13.99192;13.99328;14.68234
13.97168;13.96884;14.68032
13.95197;13.94384;14.67866
13.82039;13.92056;14.67575
13.80155;13.89726;14.67293
13.78367;13.87698;14.67164
13.76643;13.8587;14.67164
13.7516;13.84134;14.67175
13.73492;13.82508;14.67175
13.72883;13.80804;14.67146
13.71177;13.79173;14.66827
13.69457;13.77583;14.66872
13.68011;13.76055;14.66914
13.66041;13.72476;14.66841
13.64017;13.70828;14.66681
13.62085;13.69172;14.66775
13.5571;13.67422;14.66688
13.5571;13.65305;14.66459
13.53763;13.63441;14.6639
13.51766;13.61508;14.65215
13.49978;13.5958;14.65215
13.47895;13.57375;14.64663
13.45837;13.5507;14.64135
13.43893;13.52645;14.63348
13.41916;13.48168;14.6256
13.40031;13.45837;14.61716
13.37997;13.45837;14.60515
13.36083;13.43565;14.59393
13.3421;13.41199;14.58314
13.32386;13.36149;14.57034
13.31058;13.36149;14.55739
13.29068;13.33739;14.54518
13.27173;13.3131;14.53219
13.2058;13.28846;14.51882
13.2058;13.26435;14.50394
13.1879;13.21346;14.48851
13.16537;13.21346;14.43263
13.14166;13.18818;14.43263
13.11317;13.16105;14.4131
13.08855;13.13424;14.4131
13.06375;13.1087;14.37127
13.04145;12.78362;14.35218
13.0205;12.75694;14.33304
13.00505;12.75694;14.31632
12.98768;12.73793;14.31632
12.97077;12.71845;14.29989
12.95521;12.62294;14.26827
12.93891;12.60598;14.26827
12.92348;12.58943;14.2397
12.90727;12.57347;14.2397
12.88482;12.55757;14.20865
12.86733;12.54271;14.19359
12.84935;12.52438;14.19359
12.83114;12.5018;14.18242
12.81264;12.48391;14.15348
12.79524;12.47346;14.13842
12.74329;12.46308;14.12377
12.74329;12.45254;14.12377
12.72224;12.44505;14.09041
12.72224;12.44056;14.09041
12.70292;12.43693;14.04191
12.66442;12.43259;14.02455
12.64553;12.42888;14.00491
12.62698;12.42642;14.00491
12.62698;12.42325;13.98493
12.60665;12.42027;13946
12.58821;12.41433;13946
12.57212;12.41158;13.92687
12.53606;12.40768;13.90693
12.53606;12.4031;13.86556
12.5189;12.39348;13.84274
12.50086;12.38751;13.81966
12.48302;12.38751;13.81966
12.46668;12.3804;13.79912
12.42759;12.37187;13.75208
12.40702;12.34446;13.72793
12.40702;12.34446;13.70342
12.38648;12.33031;13.62785
12.36425;12.3125;13.62785
12.27979;12.29542;13.60111
12.27979;12.27744;13.57561
12.26297;12.22532;13.54943
12.24836;12.22532;13.52382
12.23849;12.21175;13.49759
12.22531;12.19955;13.47409
12.2123;12.18794;13.45134
12.20233;12.17789;13.43093
12.19102;12.15595;13.41078
12.17915;12.15595;13.39025
12.1686;12.14673;13.36709
12.15628;12.13684;13.34757
12.14373;12.12742;13.32775
12.13303;12.11773;13.30726
12.12043;12.08401;13.2456
12.10954;12.07061;13.2456
12.10112;12.07061;13.22498
12.06565;12.05637;13.20555
12.06565;12.02859;13.19053
12.05387;12.02859;13.17259
12.04291;11.99851;13.15453
12.02958;11.99851;13.13021
12.01939;11.98159;13.1104
12.00913;11.96579;13.09179
11.99728;11.93521;13.0692
