Popup;Enlarge;Panel
;;
14.83991;14.90185;14.5678
14.8409;14.89439;14.56321
14.8409;14.89439;14.5575
14.84122;14.88984;14.55247
14.8415;14.88426;14.54792
14.84188;14.87739;14.54545
14.84208;14.86948;14.54231
14.84168;14.84995;14.53926
14.8401;14.84995;14.53731
14.83748;14.83902;14.53481
14.83469;14.82735;14.53331
14.83165;14.81496;14.53147
14.82889;14.80149;14.52993
14.82203;14.77114;14.52813
14.81781;14.75451;14.52653
14.81235;14.73693;14.52444
14.80612;14.71838;14.52192
14.79922;14.69955;14.51722
14.7913;14.68057;14.5148
14.78226;14.66175;14.51254
14.77204;14.64406;14.5102
14.76105;14.62712;14.5083
14.74922;14.61201;14.5066
14.73666;14.59722;14.50493
14.70751;14.58219;14.50327
14.70751;14567;14.50235
14.69092;14.55207;14.50138
14.67272;14.53877;14.49872
14.65357;14.52623;14.49872
14.63502;14.5135;14.49793
14.61707;14.48702;14.49723
14.60003;14.47176;14.4972
14.58427;14.47176;14.49736
14.56933;14.45835;14.49852
14.55547;14.4452;14.49852
14.5434;14.41897;14.49971
14.51829;14.41897;14.50091
14.51829;14.40577;14.50134
14.51829;14.3902;14.50228
14.49701;14.37659;14.50251
14.48562;14.36256;14.50126
14.4735;14.35127;14.49889
14.4735;14.32214;14.49635
14.44849;14.32214;14.4934
14.43598;14.30614;14.4887
14.42515;14.28946;14.48591
14.41249;14.27235;14.48339
14.39907;14.23852;14.48071
14.37302;14.22447;14.47733
14.37302;14.21189;14.47374
14.35975;14.19813;14.46392
14.34658;14.18522;14.46392
14.33293;14.1725;14.46054
14319;14161;14.45636
14.30506;14.1498;14.45167
14.2894;14.13865;14.44746
14.27371;14.12873;14.44211
14.25947;14.11974;14.43616
14.24618;14.10956;14.4302
14.23218;14.10073;14.42309
14.21797;14.09171;14.41503
14.20377;14.08252;14.4066
14.18982;14.06872;14.39814
14.17604;14.05858;14.38987
14.16196;14.0478;14.38225
14.16196;14.02472;14.37453
14.13187;14.01478;14.36696
14.11772;14.00396;14.34654
14.10087;13.99345;14.34654
14.10087;13.9825;14.34171
14.06827;13.96965;14.33745
14.04872;13.95785;14.33363
14.01171;13.94503;14.32988
14.01171;13.93022;14.32709
13.98744;13.91706;14.32314
13.96752;13.90291;14.31757
13.94789;13.89199;14.31146
13.92625;13.88177;14.30613
13.90537;13.87018;14.30102
13.88348;13.86109;14.29664
13.86177;13.85256;14.29221
13.84354;13.84363;14.28643
13.82734;13.83026;14.28325
13.79418;13.82452;14.28012
13.77798;13.81941;14.27038
13.75944;13.81484;14.27038
13.74492;13.81066;14.26521
13.73097;13.8054;14.25896
13.59099;13.80211;14.25105
13.5774;13.79963;14.22926
13.56412;13.79777;14.22926
13.60909;13.79679;14.2212
13.59619;13.79756;14.21236
13.58307;13.79883;14.20333
13.58307;13.52732;14.19368
13.53247;13.52803;14.18397
13.51864;13.5287;14.17448
13.51864;13.60272;14.16578
13.49263;13.60261;14.15926
13.48098;13.60191;14.15142
13.48098;13.63254;14.14346
13.4638;13.6301;14.12291
13.4533;13.62658;14.12291
13.44137;13.62184;14.11848
13.43295;13.62957;14.11374
13.42181;13.62323;14.10917
13.42181;13.60556;14.10655
13.39092;13.59736;14.10251
13.39092;13.59029;14.09853
13.35868;13.58698;14.09646
13.34959;13.57117;14.09287
13.3414;13.57117;14.08959
13.33451;13.55875;14.08806
13.32554;13.55271;14.08436
13.31695;13.54779;14.07963
13.31474;13.54341;14.07418
13.30661;13.55094;14.06874
13.29807;13.54685;14.0626
13.28936;13.5392;14.05496
13.27435;13.53538;14.04766
13.26513;13.53141;14.0394
13.25482;13.52707;14.02968
13.24352;13.52381;14.01928
13.24352;13.51932;14.00745
13.22419;13.51685;13.96471
13.21235;13.51182;13.96471
13.21235;13.50578;13.9486
13.19466;13514;13.93127
13.19466;13.49781;13.91333
13.18545;13.49781;13.89588
13.15557;13.49018;13.87829
13.15557;13.47984;13.86077
13.15157;13.46845;13.84303
13.14234;13.4499;13.82718
13.13244;13.4499;13.81224
13.11512;13.43659;13.78291
13.11512;13.42528;13.78291
13.10717;13.41096;13.76949
13.10033;13.40081;13.75813
13.0923;13.3725;13.74616
13.08449;13.3725;13.73481
13.0779;13.36073;13.72545
13.07087;13.35369;13.69759
13.06434;13.34357;13.69759
13.05807;13.33953;13.68913
13.05159;13.31798;13.6809
13.04523;13.31798;13.67173
13.03461;13.30761;13.66373
13.03461;13.3016;13.65598
13.03041;13.29196;13.6479
13.02472;13.28171;13.6409
13.02045;13.27267;13.63417
13.01547;13.25124;13.62534
13.01147;13.24335;13.61891
13.00644;13.23304;13.61324
13.00087;13.2229;13.60873
12.99279;13.21693;13.60366
12.98423;13.20672;13.59842
12.97573;13.19643;13.59347
12.96749;13.18614;13.58545
12.95269;13.17348;13.58545
12.95269;13.16371;13.58261
12.94535;13.15467;13.57896
12.93766;13.13866;13.57561
12.92953;13.13866;13.57065
12.92068;13.13432;13.56533
12.91136;13.12915;13.55871
12.90045;13.12459;13.55215
12.88961;13.11605;13.54469
12.87774;13.11118;13.53532
12.86543;13.10942;13.52595
12.85067;13.10487;13.5158
12.83504;13.10396;13.50401
12.81896;13.10257;13.49167
12.80355;13.09768;13.47796
12.78861;13.09701;13.44767
12.77341;13.09713;13.43089
12.75664;13.09299;13.41331
12.72753;13.09332;13.39507
12.71625;13.09393;13.37537
12.71625;13.08669;13.35562
12.70607;13.08765;13.33513
12.69546;13.08765;13.31418
12.66469;13.08653;13.29321
12.64648;13.08726;13.27466
12.64648;13.08817;13.25823
12.6364;13.0876;13.24187
12.62169;13.0876;13.22708
12.62169;13.08831;13.21256
12.61437;13.08699;13.19882
12.6085;13.0873;13.1854
12.6027;13.08738;13.17375
12.59167;13.08444;13.15341
12.58105;13.08444;13.14273
12.58105;13.08269;13.13159
12.57309;13.07896;13.13159
12.56845;13.07641;13.12139
12.56224;13.07354;13.11154
12.55198;13.06769;13.09435
12.55198;13.05059;13.09435
12.54525;13.05059;13.08638
12.54014;13.04334;13.07655
12.53493;13.03524;13.06633
12.5272;13.02582;13.04774
12.5169;13.01544;13.04774
12.51201;13.00384;13.03786
12.51201;12.98976;13.02734
12.50781;12.97579;13.01597
12.50442;12.96081;13.00463
12.50147;12.94481;12.99244
12.49286;12.91054;12.95086
12.49286;12.8933;12.93707
12.48846;12.87506;12.93707
12.48486;12.87506;12.92532
12.48134;12.85884;12.9143
12.47779;12.84814;12.89291
12.47356;12835;12.89291
12.4687;12.82171;12.88313
12.46291;12.81201;12.8744
12.45662;12.79691;12.86523
12.45;12.78188;12.84513
