Popup;Enlarge;Panel
;;
15.1423;14.69313;15.0851
15.14001;14.6869;15.08068
15.12549;14.6869;15.07526
15.11187;14.68545;15.06855
15.10299;14.68472;15.06099
15.07991;14.68267;15.05279
15.07991;14.67955;15.04433
15.07578;14.67668;15.03541
15.06433;14.67209;15.02538
15.05344;14.66635;15.00016
15.03195;14.66058;15.00016
15.03195;14.65449;14.98569
15.02055;14.64847;14.97069
15.01158;14.64026;14.95544
15.00062;14.62962;14.93983
14.98988;14.61758;14.90648
14.98245;14.60672;14.90648
14.97092;14.59502;14.88967
14.95977;14.5825;14.87434
14.95143;14.57077;14.86051
14.94003;14.55741;14.84525
14.92986;14.54393;14.81257
14.92311;14.53229;14.79667
14.90221;14.51901;14.79667
14.8917;14.49802;14.78322
14.8917;14.48499;14.76666
14.88341;14.4713;14.7316
14.87005;14.46065;14.7316
14.85978;14.44679;14.71307
14.83517;14.43319;14.6946
14.83517;14.4189;14.67341
14.82641;14.40433;14.65232
14.81466;14.38877;14.63408
14.80233;14.37182;14.56588
14.76767;14.35652;14.56588
14.76767;14.3414;14.54644
14.75815;14.32568;14.52352
14.74526;14.31048;14.50233
14.73226;14.29606;14.4889
14.71107;14.28093;14.47288
14.71107;14.26644;14.45733
14.69612;14.23629;14.44492
14.68527;14.21966;14.44492
14.66957;14.21966;14.41211
14.65337;14.20041;14.38238
14.63999;14.18096;14.38238
14.62214;14.16082;14.36675
14.60296;14.13977;14.35527
14.58431;14.11726;14.33958
14.56468;14.09466;14324
14.54561;14.07242;14.31315
14.51321;14.04965;14.29832
14.51321;14.02814;14.28346
14.49856;13.98885;14.27593
14.48386;13.98885;14.26133
14.47051;13.96974;14.24726
14.45692;13.95131;14.22601
14.44243;13.93279;14.22601
14.42961;13.91461;14.21779
14.41672;13.87807;14.20454
14.40239;13.87807;14.19205
14.3884;13.86032;14.18121
14.37401;13.84042;14.1705
14.35927;13.8216;14.1608
14328;13.80296;14.14697
14.3101;13.74577;14.13616
14.3101;13.74577;14.12544
14.29459;13.72692;14.11218
14.27891;13.70835;14.09184
14.26169;13.6899;14.08183
14.24688;13.67154;14.08183
14.23192;13.65407;14.07109
14.21698;13.63601;14.05764
14.2018;13.61687;14.04838
14.18652;13.60066;14.02608
14.17035;13.58509;14.02608
14.15426;13.56731;14.01677
14.1383;13.55248;14.00503
14.12334;13.53735;13.99306
14.10731;13.51795;13.96938
14.07501;13.50233;13.95411
14.05799;13.4484;13.95411
14.04075;13.4484;13.94279
14.04075;13.43086;13.92959
14.02438;13406;13.91685
14.00634;13.38584;13.88263
13.98796;13.3653;13.88263
13.97146;13.34217;13.87262
13.95131;13.31921;13.86579
13.93087;13.29713;13.85744
13.91344;13.27642;13.84975
13.89043;13.25524;13.84203
13.86643;13.23591;13.83617
13.84345;13.21857;13.83189
13.79791;13.20365;13.82839
13.7775;13.18887;13.82595
13.7775;13.17445;13.82394
13.75897;13.16069;13.82192
13.74115;13.14718;13.81783
13.74115;13.1312;13.81601
13.70616;13.11969;13.81528
13.68863;13.10877;13.81483
13.66826;13.09767;13.81704
13.64929;13.08337;13.81622
13.63142;13.07315;13.81564
13.61521;13.05343;13.81633
13.59699;13.04398;13.81504
13.57846;13.03679;13.81362
13.55942;13.0274;13.81255
13.54159;13.01754;13.81156
13.52095;13.01039;13.81156
13.50079;13.00122;13.8131
13.48103;12.9924;13.81221
13.46138;12.98334;13.81312
13.4396;12.97359;13.81075
13.41838;12.96437;13.8128
13.39794;12.95575;13.81278
13.38008;12.94517;13.81281
13.35882;12.93452;13.81326
13.33741;12.92499;13.81563
13.31628;12.91455;13.81563
13.29438;12.89204;13.81709
13.27196;12.87965;13.81742
13.24837;12.86653;13.8179
13.22676;12.85288;13.81857
13.20525;12.83882;13.81857
13.1797;12.82375;13.81966
13.15749;12.80747;13.82306
13.13493;12.79036;13.82493
13.08697;12.77134;13.82707
13.06247;12.75102;13.82859
13.06247;12.72981;13.82859
13.03582;12.70727;13.8293
13.01044;12.68483;13.82879
12.95871;12.66335;13.82745
12.95871;12.6416;13.82568
12.93548;12.62087;13.82332
12.91448;12.60265;13.82036
12.89277;12.58423;13.81649
12.87435;12.5699;13.81184
12.85598;12.55429;13.80616
12.82671;12.53893;13.79858
12.81192;12.5275;13.78289
12.81192;12.51293;13.78289
12.80115;12.48749;13.77474
12.78688;12.48749;13.76399
12.77265;12.4731;13.75224
12.76301;12.45884;13.73943
12.75073;12.4482;13.72754
12.73785;12.4337;13.69853
12.72412;12.40398;13.69853
12.71008;12.40398;13.68439
12.69502;12.39406;13.67016
12.67969;12.37783;13.65624
12.66394;12.36128;13.64342
12.65226;12.34468;13.63025
12.63759;12.32843;13.63025
12.62303;12.31181;13.60585
12.60829;12.29553;13.59448
12.59166;12.28014;13.58356
12.57741;12.26635;13.56376
12.56325;12.25097;13.56376
12.55116;12.20761;13.55525
12.5373;12.20761;13.54495
12.52338;12.19152;13.53771
12.5112;12.17702;13.52994
12.49604;12.16214;13.5144
12.4643;12.14726;13.50676
12.4643;12.13296;13.49926
12.42833;12.11734;13.48486
12.39584;12.10142;13.47709
12.39584;12.08735;13.46963
12.3773;12.07063;13.44913
12.3568;12.03371;13.44913
12.33725;12.03371;13.43494
12.31894;12.01624;13.42743
12.28973;11.99631;13.42046
12.28973;11.98036;13.4135
12.28147;11.96102;13.40493
12.26853;11.92265;13.39841
12.25609;11.92265;13.39219
12.24434;11.91034;13.38728
12.23599;11.89542;13.38101
12.22487;11.88548;13.37394
12.21319;11.87295;13.36083
12.20305;11.84024;13.36083
12191;11.82881;13.35403
12.18121;11.81462;13.34874
12.16977;11.81462;13.34874
12.15852;11.79124;13.33815
12.14965;11.77878;13.33268
12.13794;11.76815;13.3264
12.12676;11.7569;13.31959
12.11781;11.74344;13.31257
12.09633;11.73215;13.30537
12.09633;11.7203;13.30076
12.08677;11.71023;13.28553
12.07789;11.69812;13.28553
12.06794;11.68614;13.27866
12.05585;11.67473;13.27032
12.03407;11.66224;13.26151
12.03407;11.64971;13.25383
12.02164;11.62469;13.2442
12.00991;11.62469;13.23367
11.9991;11.61196;13.22522
11.98984;11.60103;13.21447
11.96777;11.58886;13.20345
11.95794;11.56135;13.19262
11.95794;11.56135;13.17383
11.94745;11.54806;13.17383
11.92544;11.53444;13.16395
11.91287;11.51776;13.15425
11.90002;11.5033;13.14409
11.88632;11.48823;13.13454
11.88632;11.47001;13.1244
11.85526;11.45346;13.11466
11.85526;11.43761;13.10743
11.82325;11.41886;13.09897
11.79166;11.40214;13.09096
11.79166;11.38277;13.08302
11.77879;11.36755;13.06148
11.76698;11.35446;13.06148
11.75639;11.34272;13.05413
11.73685;11.33034;13.04683
11.73685;11.32042;13.03545
11.73118;11.29867;13.03545
11.72272;11.28939;13.02794
11.71472;11.28066;13.02148
11.70335;11.28066;13.01477
11.68637;11.26977;13.00854
11.68637;11.25155;13.00802
11.67297;11.24278;12.9889
11.66423;11.24278;12.98222
11.65556;11.22566;12.98222
11.64667;11.22566;12.97531
11.63783;11.21765;12.95957
11.61482;11.20151;12.95376
