Popup;Enlarge;Panel
;;
13.80545;14.70082;0
13.80172;14.70136;0
13.81;14.70183;0
13.81426;14.69614;0
13.8189;14.69499;0
13.82105;14.69477;0
13.82778;14.69507;0
13.83247;14.69755;0
13.83495;14.69865;0
13.8388;14.69982;0
13.84075;14.69665;0
13.84295;14.69392;0
13.84517;14.69489;0
13.83979;14.69159;0
13.84049;14.69167;0
13.83887;14.68865;0
13.83947;14.68895;0
13.84014;14.68807;0
13.83951;14.68903;0
13.84224;14.69209;15.2363
13.83582;14.69296;15.09433
13.83728;14.69324;15.08943
13.83506;14.69351;15.08935
13.83637;14.69366;15.08815
13.83333;14.69523;15.08869
13.8352;14.69523;15.08868
13.83426;14.69415;15.09017
13.83506;14.69217;15.09133
13.83583;14.69114;15.09446
13.83654;14.68958;15.09693
13.8386;14.68591;15.10154
13.83312;14.68422;15.10197
13.8342;14.6792;15.10424
13.83504;14.67779;15.10583
13.83823;14.67653;15.10731
13.83954;14.67254;15.11009
13.84829;14.67217;15.11216
13.84992;14.67165;15.11963
13.85192;14.67043;15.12369
13.85472;14.66969;15.12845
13.85525;14.66834;15.15602
13.85787;14.66387;15.16256
13.86;14.66221;15.17571
13.86192;14.66092;15.18923
13.86558;14.6605;15.20239
13.86768;14.65916;15.20856
13.86972;14.65751;15.22092
13.86808;14.65617;15.22618
13.86926;14.65411;15.23459
13.87384;14.64918;15.23352
13.87551;14.64546;15.23065
13.8775;14.64205;15.22287
13.87833;14.63965;15.21616
13.878;14.63691;15.2092
13.87924;14.63415;15.20111
13.88056;14.62857;15.19136
15.3743;14.62565;15.17027
15.21816;14.61895;15.14026
15.22025;14.61751;15.13082
15.22227;14.61637;15.1155
15.21396;14.61595;15.1068
15.21552;14.62067;15.10087
15.19773;14.6207;15.09218
15.19944;14.62181;15.07603
15.20058;14.62552;15.06505
15.19516;14.62865;15.05692
15.19882;14.62986;15.06032
15.19857;14.61777;15.06168
15.19796;14.61849;15.0636
15.18602;14.61939;15.06403
15.18417;14.62601;15.06436
15.18298;14.62851;15.06625
15.18168;14.63002;15.06686
15.1807;14.62375;15.06663
15.17819;14.62554;15.06882
15.1757;14.62705;15.07022
15.1744;14.64157;15.06884
15.17967;14.64825;15.06795
15.19448;14.65415;15.05989
15.20155;14.65172;15.05495
15.20756;14.64723;15.04847
15.20897;14.64723;15.03365
15.21344;14.64507;15.029
15.21401;14.64447;15.01453
15.21435;14.64403;15.00447
15.21442;14.64403;14.99988
15.21385;14.64363;14.99538
15.21183;14.64248;14.99228
15.21051;14.64241;14.98933
15.20891;14.6427;14.98458
15.20895;14.64191;14.98324
15.20761;14.64191;14.98205
15.20593;14.6417;14.98075
15.20558;14.63946;14.97517
15.20319;14.63862;14.9714
15.19998;14.63818;14.96977
15.19601;14.63958;14.96381
15.19356;14.63883;14.96063
15.19107;14.63883;14.962
15.19037;14.63472;14.9702
15.18858;14.63424;14.97445
15.18708;14.63431;14.97677
15.1859;14.63184;14.97855
15.18335;14.62997;14.98101
15.18069;14.62997;14.98537
15.17883;14.62969;14.98837
15.16789;14.62838;14.98983
15.16632;14.62624;14.98973
15.16562;14.63009;14.9886
15.16562;14.62356;14.98562
15.16203;14.62356;14.98282
15.16206;14.62563;14.97885
15.16086;14.62154;14.97583
15.16011;14.61992;14.97314
15.16011;14.61956;14.96946
