Popup;Enlarge;Panel
;;
15.34903;15.1741;15.1310
15.31318;15.17495;15.12862
15.29636;15.17556;15.1251
15.27874;15.17584;15.12063
15.26094;15.17584;15.11628
15.24255;15.17517;15.11304
15.22466;15.17484;15.10779
15.20491;15.1842;15.10487
15.18464;15.18383;15.09946
15.16513;15.18383;15.09353
15.14301;15.21473;15.08679
15.11961;15.21438;15.08018
15.09476;15.21408;15.07364
15.06879;15.21467;15068
15.04225;15.21475;15.05654
15.01473;15.21474;15.04848
14.98895;15.20894;15.04848
14.96296;15.20906;15.04093
14.93628;15.20909;15.03268
14.91073;15.20909;15.01973
14.88562;15.21111;15.01973
14.86316;15.21154;15.01186
14.84078;15.21281;15.00316
14.81843;15.21323;14.99592
14.7727;15.21325;14.98679
14.75082;15.20905;14.96588
14.72727;15.20894;14.96588
14.70299;15.20878;14.95522
14.67904;15.22068;14.94517
14.65288;15.22022;14.93461
14.62564;15.21964;14.91004
14.59776;15.22784;14.88255
14.56752;15.22708;14.88255
14.53783;15.22643;14.86732
14.50731;15.22694;14.85169
14.47672;15.2259;14.83571
14.44568;15.2248;14.81847
14.41462;15.2262;14.80111
14.38139;15.22518;14.78386
14.35166;15.22426;14.7666
14.32417;15.22476;14.75139
14.29817;15.22369;14.7369
14.27459;15.22278;14.72114
14.25267;15.22185;14.70709
14.25267;15.22043;14.69338
14.23262;15.22043;14.67948
14.1959;15.21923;14.66538
14.18105;15.21776;14.65209
14.16548;15.21661;14.63908
14.15048;15.21589;14.59679
14.12774;15.21281;14.59679
14.11377;15.21281;14.58446
14.10041;15.21258;14.57194
14.08198;15.21256;14.56079
14.06858;15.21187;14.54838
14.05577;15.21165;14.53563
14.04529;15.21133;14.52196
14.03234;15.21095;14.50807
14.03234;15.21055;14.4946
13.99554;15.21067;14.48592
13.99554;15.21051;14.47383
13.98297;15.21084;14.4623
13.9734;15.21098;14.45391
13.96385;15.21117;14.44197
13.94524;15.21145;14.42994
13.94524;15.21145;14.42544
13.93796;15.21107;14.39015
13.93311;15.2106;14.39015
13.92865;15.20986;14.38091
13.92511;15.20853;14.37118
13.9189;15.2078;14.36736
13.91454;15.20712;14.35853
13.91454;15.20641;14.34959
13.91274;15.20611;14.34446
13.91198;15.20522;14.3364
13.91154;15.20365;14.32871
13.91206;15.20304;14.32155
13.91069;15.20202;14.31451
13.91069;15.20202;14.30715
13.90976;15.20147;14.29911
13.90902;15.20091;14.29145
13.9086;15.20081;14.28441
13.90721;15.2008;14.27302
13.90721;15.20091;14.26539
13.90596;15.20121;14.26539
13.90578;15.20144;14.25653
13.90584;15.20144;14.24898
13.90663;15.20112;14.24218
13.9067;15.20106;14.23126
13.9067;15.20081;14.23126
13.90758;15.1994;14.22585
13.90837;15.19363;14.21918
13.91017;15.19363;14.20985
13.91045;15.19105;14.20985
13.91045;15.18772;14.20541
13.91083;15.18376;14.19891
13.91023;15.17931;14.19644
13.90945;15.17414;14.19492
13.9089;15.16819;14.19492
13.90743;15.16123;14.19305
13.90743;15.15353;14.19028
13.90763;15.14594;14.19028
13.90767;15.13712;14.19027
13.9078;15.12738;14.19032
13.90761;15.14724;14.19072
13.90822;15.13649;14192
13.90822;15.12548;14.19409
13.90849;15.13121;14.19651
13.90872;15.11919;14.1984
13.90895;15.10667;14.20168
13.90856;15.10104;14.20555
13.90839;15.0891;14.20911
13.9079;15.07776;14.21415
13.90713;15.07082;14.21932
13.90625;15.06083;14.22322
13.90507;15.05103;14.22794
13.90281;15.04663;14.2326
13.90281;15.03648;14.24452
13.90185;15.02616;14.25009
13.90048;15.01646;14.25009
13.89941;15.00847;14.25542
13.89771;15.00148;14261
13.89771;15.00349;14.26579
13.89684;14.99768;14.27337
13.8961;14.99173;14.27337
13.89537;14.9875;14.27754
13.89446;14.98133;14.27978
13.89231;14.97512;14.28475
13.89231;14.96676;14.28959
13.89109;14.96004;14.28962
13.89064;14.95334;14.29561
13.88933;14.9459;14.29561
13.88826;14.93996;14.29987
13.88773;14.93392;14.30266
13.8855;14.92562;14.30394
