Popup,Enlarge,Panel
,,
15.03093,15.00614,15.01899
15.0264,15.00614,15.00674
15.02295,15.00329,14.99746
14.56247,14.99685,14.98765
14.56034,14.99426,14.97847
14.57968,14.99426,14.96907
14.57968,14.99215,14.96097
14.57929,14.99216,14.94337
14.57817,14.99158,14.93624
14.5788,14.99142,14.92934
14.5788,14.99131,14.9221
14.57718,14.99088,14.91618
14.57718,14.99088,14.91618
14.57512,14.99039,14.90497
14.63595,14.98986,14.89967
14.63005,14.98912,14.89516
14.63005,14.9879,14.89017
14.62178,14.98701,14.89017
14.62178,14.9874,14.88597
14.61933,14.98713,14.88642
14.61212,14.98672,14.88611
14.59963,14.9862,14.88611
14.59963,14.98617,14.88427
14.60571,14.98617,14.88054
14.60145,14.98652,14.86333
14.59731,14.98709,14.86333
14.60226,14.98749,14.85727
14.59893,14.98592,14.85066
14.5963,14.98592,14.84258
14.59446,14.98372,14.83352
14.59091,14.98221,14.82355
14.58751,14.98221,14.81236
14.61343,14.9785,14.80082
14.60946,14.97005,14.788
14.60547,14.97005,14.77375
14.61205,14.96503,14.75804
14.60747,14.96503,14.72561
14.60336,14.95983,14.72561
14.59949,14.95424,14.70852
14.59558,14.94288,14.69324
14.59558,14.94288,14.67821
14.60118,14.92707,14.64887
14.59727,14.92707,14.63277
14.59144,14.91664,14.63277
14.59144,14.89449,14.6177
14.58021,14.88317,14.60265
14.58021,14.86819,14.57396
14.58253,14.85277,14.56012
14.57798,14.85277,14.54477
14.57669,14.81619,14.52817
14.56874,14.79974,14.51033
14.56874,14.78284,14.49173
14.56746,14.78284,14.47229
14.56459,14.76738,14.43489
14.56187,14.7524,14.43489
14.55802,14.73853,14.41929
14.55186,14.72591,14.41929
14.55186,14.70682,14.39198
14.55208,14.69804,14.3787
14.55095,14.69804,14.36424
14.55041,14.68827,14.35215
14.56774,14.05956,14.33859
14.56651,14.05167,14.32734
14.56542,14.04487,14.31633
14.5694,14.04487,14.31633
14.56769,14.03766,14.28108
14.56644,14.00356,14.28108
14.57012,14.00356,14.27026
14.56855,13.99732,14.26016
14.56674,13.97715,14.25012
14.56892,13.97107,14.23469
14.5673,13.97107,14.23469
14.56613,13.95888,14.22588
