Popup;Enlarge;Panel
;;
14.94564;14.98748;15.00667
14.9372;14.98748;14.99129
14.9182;14.97203;14.97567
14.9182;14.96316;14.96089
14.90988;14.96316;14.94545
14.90148;14.95423;14.92921
14.89303;14.9345;14.91257
14.88567;14.92475;14.89576
14.86118;14.91345;14.87994
14.86118;14.9019;14.86383
14.85372;14.89145;14.84965
14.84573;14.89145;14.84965
14.8392;14.8797;14.8223
14.83084;14.86878;14.8067
14.82264;14.8422;14.79286
14.81567;14.8422;14.76918
14.80715;14.81601;14.75673
14.79825;14.80159;14.75673
14.78934;14.78565;14.72824
14.77126;14.76939;14.71449
14.77126;14.73685;14.69978
14.75975;14.73685;14.68638
14.7494;14.72208;14.68638
14.73872;14.70701;14.66023
14.72462;14.6926;14.63986
14.71362;14.6798;14.62611
14.70278;14.66732;14.61115
14.68924;14.65535;14.59645
14.67747;14.64466;14.58278
14.66541;14.6348;14.58278
14.65062;14.62499;14.55386
14.62432;14.60174;14.53878
14.62432;14.59263;14.52283
14.60913;14.58288;14.50505
14.59621;14.58288;14.48775
14.58422;14.57436;14.47011
14.57246;14.55729;14.45264
14.54961;14.55729;14.43363
14.54961;14.54728;14.41263
14.53796;14.52692;14.3926
14.52842;14.52692;14.3926
14.51938;14.51775;14.35137
14.50972;14.50827;14.33206
14.48432;14.49003;14.31259
14.48432;14.49003;14.29469
14.47694;14.47792;14.27772
14.4693;14.46848;14.26188
14.46016;14.45927;14.2466
14.45165;14.43025;14.23399
14.44253;14.43025;14.21898
14.43182;14.41901;14.20696
14.42089;14.40562;14.19307
14.40903;14.39189;14.19307
14.3838;14.36042;14.17909
14.37087;14.36042;14.14979
14.36495;14.34424;14.13514
14.3505;14.32725;14.12067
14.33503;14.30901;14.10646
14.31897;14.29096;14.10646
14.3027;14.2728;14.07795
14.28696;14.23748;13.94925
14.2697;14.22109;13.93535
14.25427;14.22109;13.99633
14.23882;14.10092;13.99633
14.22886;14.08656;14.03528
14.19846;13.99144;14.02324
14.18306;13.99144;14.01166
14.18306;13.96353;14.00077
14.16753;13.96353;14.04983
14.15244;13.93795;14.04052
14.14469;13.93795;14.0328
14.11693;13.92119;14.12939
14.11693;13.92119;14.12137
14.10953;13.91873;14.12223
14.09768;13.90812;14.12223
14.08643;13.89763;14.11498
14.07844;13.88793;14.10776
14.05497;13.89371;14.11479
14.04639;13.88478;14.10723
14.04639;13.87597;14.08276
14.03441;13.86763;14.08276
14.01632;13.85877;14.08276
14.00689;13.85027;14.0651
13.99782;13.82907;14.05037
13.99334;13.82022;14.0161
13.99334;13.82022;14.00851
13.97597;13.80409;13.98796
13.97114;13.79666;13.98796
13.95193;13.78424;13.96471
13.95193;13.78424;13.94425
13.94836;13.7792;13.92337
13.94026;13.76891;13.90467
13.93293;13.76891;13.88635
13.92857;13.75956;13.86884
13.91863;13.75232;13.85176
13.91246;13.75232;13.83499
13.90607;13.74555;13.81917
13.90607;13.73849;13.80553
13.89536;13.73279;13.77863
13.8906;13.72637;13.77863
13.88648;13.71835;13.75978
13.8826;13.68753;13.74568
13.8826;13.68753;13.73126
13.87986;13.67576;13.70317
13.87642;13.67576;13.68896
13.87266;13.66102;13.67468
13.87266;13.64485;13.65692
13.86971;13.62843;13.64203
13.86611;13.61095;13.62757
13.86233;13.59449;13.61115
13.85226;13.57659;13.5991
13.85226;13.55939;13.58393
13.84574;13.51285;13.57072
13.84171;13.51285;13.55737
13.83914;13.50085;13.54549
13.83756;13.4867;13.50646
13.83581;13.47289;13.50646
13.83262;13.46078;13.48855
13.83262;13.4472;13.47629
13.83206;13.43311;13.46257
13.8308;13.41999;13.45183
13.83051;13.40751;13.44105
13.82742;13.39503;13.43027
13.82742;13.3838;13.40903
13.82798;13.37193;13.3982
13.82643;13.36094;13.38002
13.82525;13.35143;13.36955
