Popup;Enlarge;Panel
;;
15.0297;14.8010;15.04232
15.01856;14.79456;15.02391
15.00647;14.77933;14.98792
14.99398;14.77018;14.9708
14.98088;14.77018;14.95311
14.97001;14.76036;14.9359
14.95672;14.75029;14.92145
14.94468;14.72646;14.88282
14.94468;14.72646;14.87255
14.91666;14.70135;14.83851
14.90256;14.70135;14.81403
14.88802;14.68922;14.77591
14.87458;14.67912;14.75063
14.86157;14.66878;14.73776
14.84912;14.6581;14.73491
14.83683;14.62753;14.73289
14.82432;14.62753;14.73346
14.81331;14.61768;14.73307
14.80167;14.60877;14.73271
14.77972;14.59983;14.7323
14.76917;14.59236;14.73437
14.76917;14.58338;14.73433
14.75623;14.57459;14.73374
14.74605;14.56437;14.73357
14.73062;14.55577;14.73377
14.70797;14.54712;14.73445
14.70797;14.53723;14.73558
14.69145;14.52016;14.73671
14.67894;14.51331;14.73837
14.66659;14.51331;14.73728
14.65007;14.50468;14.73927
14.62496;14.49618;14.74142
14.62496;14.48045;14.74304
14.61348;14.48045;14.74455
14.60146;14.4732;14.74688
14.5899;14.46516;14.74758
14.57861;14.45711;14.74877
14.55607;14.44742;14.74957
14.55607;14.43196;14.74995
14.54571;14.43196;14.74992
14.53276;14.42276;14.74977
14.52247;14.41562;14.75
14.50935;14.40829;14.74971
14.48787;14.40004;14.74862
14.48787;14.38267;14.74744
14.47535;14.37335;14.74573
14.46456;14.37335;14.74392
14.45347;14.36429;14.74198
14.43949;14.35396;14.73659
14.41408;14.33077;14.73659
14.41408;14.33077;14.73268
14.40066;14.31882;14.72795
14.38669;14.30695;14.72444
14.37227;14.29471;14.72185
14.35805;14.28203;14.71989
14.30889;14.26915;14.71775
14.29283;14.24118;14.71593
14.29283;14.22629;14.71454
14.27639;14.22629;14.71567
14.2595;14.21101;14.71702
14.23215;14.19651;14.71983
14.23215;14.18232;14.72292
14.21972;14.15711;14.72683
14.20803;14.15711;14.73057
14.19572;14.14527;14.73495
14.1842;14.13466;14.73928
14.16172;14.12405;14.74288
14.16172;14.11291;14.74646
14.15122;14.0918;14.74837
14.13874;14.0918;14.75113
14.12804;14.08023;14.75113
14.11557;14.07191;14.75217
14.09487;14.06387;14.75256
14.08539;14.05552;14.75072
14.08539;14.03863;14.75129
14.07394;14.03029;14.75506
14.06554;14.03029;14.75801
14.04703;14.02468;14.75952
14.04703;14.01675;14.75885
14.03962;14.01017;14.75744
14.03184;13.9959;14.7554
14.02626;13.9959;14.75327
14.02068;13.98837;14.75079
14.01301;13.98113;14.74757
14.00071;13.97452;14.74757
14.00071;13.96784;14.74784
13.99355;13.95658;14.74736
13.98704;13.95658;14.7473
13.98072;13.95292;14.74694
13.97461;13.9474;14.74578
13.96383;13.94196;14.74412
13.96383;13.93662;14.74416
13.95889;13.92182;14.74297
13.95332;13.92182;14.74174
13.94716;13.9164;14.74096
13.94178;13.91187;14.73738
13.9269;13.90706;14.73738
13.9269;13.90117;14.73632
13.92151;13.89566;14.73577
13.91324;13.88942;14.73577
13.89514;13.88225;14.73657
13.89514;13.87514;14.73731
13.87671;13.86769;14.73827
13.87671;13.86145;14.73898
13.86805;13.84586;14.73912
13.85774;13.83719;14.73906
13.84809;13.83719;14.74093
13.84109;13.82834;14.20601
13.83385;13.81953;14.20591
13.82745;13.80044;14.20523
13.8215;13.80044;14.3171
13.81608;13.79115;14.31566
13.81086;13.78048;14.3141
13.80489;13.77019;14.42593
13.79956;13.98793;14.42439
13.79458;13.96709;14.42302
13.7892;13.96709;14.43961
13.78466;13.89893;14.43888
13.78047;13.88885;14.46042
13.7729;13.87908;14.46042
13.76544;13.85809;14.45905
13.76544;13.84928;14.45739
13.76049;13.84928;14.43939
13.75693;13.86864;14.43842
13.75363;13.86028;14.43752
13.75024;13.85237;14.43712
13.74393;13.84355;14.43756
13.74393;13.83066;14.43791
13.74027;13.83066;14.44641
13.73737;13.82506;14.44719
13.73448;13.81974;14.44921
13.73013;13.8144;14.44921
13.72724;13.82997;14.44965
13.72454;13.8146;14.45016
13.71967;13.8146;14.44629
13.71627;13.81429;14.44759
13.71244;13.8086;14.44853
13.70512;13.80121;14.44324
13.70512;13.79561;14.44312
13.7014;13.79012;14.44273
13.69739;13.78522;14.44153
13.69273;13.78106;14.44203
13.68717;13.77745;14.44668
13.68192;13.76712;14.44436
13.66406;13.76015;14.44436
13.66406;13.75717;14.44561
13.65759;13.75717;14.44561
13.65021;13.75925;14.43802
13.63412;13.75698;14.43576
13.63412;13.75494;14.43778
13.62551;13.75369;14.4349
13.61795;13.75369;14.43384
13.60864;13.77901;14.43173
13.59841;13.77793;14.42999
13.58692;13.77709;14.42999
13.56296;13.7762;14.43256
13.56296;13.77369;14.43179
13.55172;13.77369;14.43179
13.53888;13.77057;14.43239
13.51201;13.76705;14.43072
13.51201;13.76291;14.43129
13.49968;13.76083;14.42997
13.48592;13.74264;14.42939
13.47894;13.74264;14.42939
13.46609;13.73469;14.43367
13.45403;13.72579;14.43801
13.44577;13.71619;14.43801
13.42575;13.70699;14.4375
13.42575;13.69639;14.43641
13.41568;13.68483;14.43812
13.4082;13.67384;14.43759
13.39812;13.66193;14.43841
13.38842;13.64766;14.43886
13.37103;13.62698;14.43914
13.37103;13.62698;14.43936
13.36129;13.61819;14.44128
13.35335;13609;14.44308
13.34527;13.60025;14.44308
13.33359;13.59201;14.44261
13.30855;13.58373;14.44162
13.30855;13.57675;14.44252
13.29778;13.56795;14.44106
13.28864;13.56217;14.43991
13.27639;13.55679;14.43984
13.26715;13.55189;14.43848
13.2579;13.54741;14.43692
13.24716;13.54274;14.43836
13.23814;13.53829;14.43446
13.22984;13.53511;14.43275
13.22207;13.5311;14.43275
13.21539;13.52737;14.43094
13.20901;13.52023;14.43094
13.20078;13.52023;14.43165
13.19475;13.51687;14.43118
13.19475;13.51362;14.43119
13.18357;13.51362;14.43378
13.17703;13.50759;14.43427
13.17154;13.50523;14.43427
13.16479;13.50259;14.43505
13.16004;13.50015;14.43539
13.15557;13.49761;14.43539
13.15089;13.49497;14.43518
13.14548;13.49494;14.43505
13.13973;13.49214;14.43573
13.13395;13.48907;14.43567
13.12729;13.4859;14.43571
13.12032;13.47979;14.43875
13.10552;13.4765;14.43864
13.09686;13.47284;14.4383
13.09686;13.46469;14.43786
13.0902;13.46469;14.43825
13.08075;13.46116;14.43928
13.07042;13.45567;14.43928
13.04963;13.45084;14.43852
13.04963;13.44659;14.43784
13.03769;13.44041;14.43765
13.02543;13.44041;14.43695
13.01403;13.44033;14.43598
13.00277;13.43775;14.43546
12.9903;13.43466;14.4344
12.98011;13.43173;14.43342
12.97362;13.41738;14.43298
12.96498;13.41738;14.43238
12.95648;13.41288;14.4312
12.95043;13.40806;14.43044
12.93632;13.40292;14.43044
12.93632;13.39697;14.4295
12.92988;13.39123;14.42983
12.92316;13.38813;14.42926
