Popup;Enlarge;Panel
;;
14.79106;15.1861;15.11936
14.79328;15.18303;15.10857
14.79328;15.18033;15.08787
14.79462;15.17852;15.08787
14.79558;15.17644;15.07706
14.79575;15.17197;15.06823
14.7944;15.1671;15.05976
14.7944;15.15334;15.05247
14.79369;15.14414;15.02413
14.79267;15.14414;15.02413
14.79057;15.13455;15.01489
14.78849;15.12378;15.00404
14.78357;15.11362;14.99217
14.78357;15.10348;14.97921
14.77993;15.09252;14.96489
14.77538;15.08024;14.94898
14.76968;15.0684;14.93303
14.7632;15.05593;14.93303
14.74543;15.03193;14.90078
14.74543;15.03193;14.88491
14.74019;15.02311;14.86874
14.73669;15.01395;14.85252
14.73266;15.00596;14.8379
14.72928;14.99673;14.82393
14.72657;14.9866;14.80993
14.72378;14.97729;14.79653
14.72049;14.96805;14.78367
14.71901;14.95853;14.77214
14.71672;14.95043;14.76095
14.71186;14.94194;14.74953
14.71186;14.93372;14.73717
14.70676;14.92046;14.72408
14.70283;14.91471;14.71147
14.69766;14.90733;14.69993
14.69335;14.9004;14.69993
14.68774;14.89658;14.67724
14.68774;14.8911;14.66607
14.6848;14.88535;14.65248
14.68264;14.87992;14.62803
14.67925;14.87355;14.61725
14.67527;14.86625;14.61725
14.66857;14.85857;14.60172
14.66559;14.85177;14.60172
14.66559;14.84519;14.58119
14.66277;14.83808;14.57008
14.66002;14.83038;14.56008
14.65285;14.82239;14.5493
14.65285;14.81452;14.53844
14.64905;14.80071;14.5275
14.64036;14.80071;14.51595
14.64036;14.79304;14.50442
14.6357;14.78453;14.4941
14.63048;14.77594;14.4827
14.61625;14.76785;14.47353
14.60872;14.75784;14.46209
14.60872;14.74698;14.44979
14.60186;14.73715;14.43668
14.59523;14.72674;14.42568
14.58815;14.71556;14.42568
14.57327;14.70465;14.39924
14.57327;14.69228;14.38504
14.56538;14.67985;14.34389
14.55659;14.66797;14.34389
14.54759;14.65629;14.33121
14.53816;14.64293;14.31576
14.50889;14.64293;14.31576
14.50889;14.60677;14.28707
14.49872;14.59854;14.28707
14.48784;14.58601;14.26266
14.4764;14.57366;14.26266
14.46411;14.56179;14.25098
14.45236;14.55284;14.23895
14.4418;14.54214;14.21349
14.43379;14.54214;14.20175
14.42503;14.52311;14.20175
14.41626;14.52311;14.19058
14.39943;14.50207;14.16761
14.39943;14.49309;14.15613
14.3909;14.48249;14.14517
14.38165;14.47225;14.13427
14.36716;14.46439;14.13427
14.36328;14.45522;14.12375
14.36328;14.44633;14.10509
14.35762;14.44077;14.10509
14.35115;14.43023;14.07556
14.34782;14.42;14.06609
14342;14.40849;14.05679
14.3318;14.39652;14.04626
14.32587;14.37082;14.03596
14.32587;14.37082;14.02326
14.32077;14.35769;14.01178
14.31871;14.34664;14.00085
14.31428;14.33252;13.9885
14.30445;14.31823;13.97882
14.30445;14.30662;13.9693
14.30043;14.27728;13.95965
14.29607;14.27728;13.94957
14.28998;14.26503;13.93992
14.28506;14.24956;13.92768
14.28025;14.23407;13.91457
14.26817;14.22147;13.90124
14.26223;14.20626;13.88738
14.26223;14.19148;13.87152
14.25582;14.18176;13.85617
14.25086;14.16689;13.8408
14.24014;14.15236;13.8255
14.24014;14.12867;13.81162
14.23468;14.11431;13.77547
14.22843;14.10005;13.77547
14.22169;14.09067;13.76418
14.20632;14.07761;13.74266
14.19719;14.06542;13.74266
14.18781;14.05242;13.73032
14.17789;14.0388;13.72346
14.17789;14.02483;13.7112
14.16821;14.01208;13.68656
14.15816;13.99902;13.67524
14.14737;13.98935;13.66228
14.1254;13.97704;13.64874
14.1254;13.97704;13.64874
14.11509;13.95279;13.6335
14.10469;13.94142;13.60645
14.09488;13.92968;13.59062
14.06542;13.91774;13.57698
14.05549;13.89108;13.56256
14.05549;13.87763;13.56256
14.04874;13.87763;13.54651
14.0401;13.86432;13.53184
14.02684;13.84943;13.50247
14.02684;13.83947;13.46698
14.01998;13.82175;13.45131
14.0138;13.80435;13.45131
14.00678;13.79051;13.43814
13.99985;13.7737;13.42135
13.98692;13.75638;13.38555
13.98692;13.73913;13.38555
13.98014;13.72087;13.36858
13.97289;13.70254;13.35032
13.96625;13.68707;13.33789
13.95963;13.66845;13.29917
13.94679;13.65016;13.27983
13.94012;13.61699;13.26096
13.94012;13.61699;13.24352
13.9334;13.60057;13.24352
13.9277;13.58878;13.22612
13.92168;13.57312;13.19387
13.91271;13.55723;13.19387
13.90533;13.52634;13.16657
13.89793;13.5105;13.15017
13.88898;13.5105;13.15017
13.88158;13.49785;13.14003
13.8742;13.46659;13.12459
13.86069;13.45479;13.05837
13.86069;13.4403;13.04242
13.85242;13.40993;13.04242
13.84524;13.40993;13.04479
13.83584;13.39525;13.01436
13.82544;13.38135;13.01436
13.81473;13.36544;12.98511
13.79253;13.35066;12.98511
13.78059;13.33296;12.9777
13.7691;13.31735;12.97447
13.75688;13.30126;12.94726
13.74504;13.2849;12.94726
13.73783;13.25484;12.93857
13.72495;13.23927;12.92365
13.71169;13.22664;12.90763
13.70193;13.20954;12.89281
13.68995;13.19155;12.87685
13.67857;13.17899;12.8462
13.67093;13.1605;12.8462
13.66093;13.14246;12.83196
13.65063;13.12608;12.81541
13.64293;13.10841;12.79751
13.63254;13.09066;12.78052
13.62283;13.0731;12.72807
13.60808;13.05533;12.70977
13.60808;13.03822;12.70977
13.60203;13.02481;12.6927
13.59296;13.0091;12.67515
13.58381;12.9935;12.64167
13.57515;12.96659;12.64167
13.56844;12.96659;12.62595
13.55977;12.95202;12.61117
13.55062;12.93709;12.59698
13.54254;12.92299;12.56811
13534;12.92299;12.56811
13.5253;12.8924;12.55355
13.52065;12.87848;12.54011
13.51243;12.86613;12.52707
13.50445;12.85424;12.50237
13.49444;12.8419;12.48968
13.48631;12.82969;12.48968
13.47858;12.82786;12.47584
13.46124;12.81709;12.46399
13.46124;12.80573;12.4522
13.45156;12.79382;12.44022
13.44202;12.79382;12.40543
13.43207;12.7698;12.40543
13.41358;12.75971;12.39415
13.41358;12.74707;12.38396
13.40355;12.73447;12.37313
13.39155;12.72163;12.36093
13.37952;12.70844;12.3483
13.36692;12.70844;12.33622
13.32653;12.6776;12.32485
13.32653;12.64777;12.31307
13.31222;12.63314;12.30113
13.29666;12.61916;12.29083
13.28112;12.61916;12.27831
13.26418;12.59695;12.26542
13.24829;12.58364;12.25242
13.2329;12.57059;12.23874
13.21791;12.57059;12.22954
13.20111;12.56067;12.21663
13.18685;12.53436;12.20333
13.17364;12.52884;12.18975
13.14256;12.5175;12.17818
13.14256;12.50608;12.16474
13.13042;12.49622;12.1514
13.12121;12.49622;12.1389
13.10946;12.48505;12.10635
13.09829;12.45693;12.10635
13.0873;12.45693;12.10635
13.07765;12.44698;12.09661
13.06793;12.4396;12.08586
13.05729;12.41942;12.06564
13.04662;12.41942;12.06564
13.03549;12.41139;12.05667
13.02191;12402;12.03617
13.02191;12402;12.03617
13.0111;12.38651;12.02646
13.00037;12.37928;12.00583
12.99002;12.37083;12.00583
12.96702;12.36361;11.99428
12.96702;12.35579;11.98553
12.95664;12.3462;11.97837
12.94635;12.33547;11.97131
12.93619;12.32425;11.95384
12.92665;12.30388;11.95384
12.90711;12.30388;11.94514
12.89669;12.29441;11.93595
12.89669;12.28386;11.9246
12.88525;12.27344;11.91188
12.87526;12.26271;11.90019
12.86537;12.25154;11.86772
12.84593;12.24125;11.85628
12.84593;12.23031;11.85628
12.83462;12.21942;11843
12.82679;12.20937;11.81801
12.81518;12.19791;11.81801
12.80331;12.18693;11.80568
12.78;12.17674;11.7938
12.78;12.16677;11.78136
12.76633;12.15832;11.77009
12754;12.14959;11.74575
12.73953;12.14067;11.74575
12.72415;12.12789;11.73329
12.67904;12.11881;11.70823
12.67904;12.10982;11697
12.66583;12.10056;11.68748
12.65564;12.09139;11.67194
12.64477;12.08024;11.67194
12.63481;12.0558;11661
12.61088;12.04791;11.65006
12.60102;12.04044;11.64252
12.59259;12.04044;11.62506
12.58463;12.03137;11.62506
12.57695;12.02348;11.61604
12.56837;12.0041;11.60807
12.55939;11.99757;11.59888
12.54978;11.99757;11.58275
12.53992;11.98199;11.57463
12.53019;11976;11.56719
12.51059;11.96977;11.56167
12.51059;11.96161;11.55405
12.50035;11954;11.5401
12.48963;11954;11.53253
12.48017;11.9369;11.52541
12.47069;11.92959;11.49872
12.45166;11.92224;11.49016
12.45166;11.9037;11.48315
12.44243;11.9037;11.47578
12.42981;11.8947;11.45386
12.41941;11.88453;11.44555
12.40864;11.87488;11.43682
12.38627;11.85976;11.42129
12.38627;11.84908;11.41227
12.37658;11.83776;11.40286
12.36442;11.82277;11.38905
12.35425;11.81098;11.37848
12.34339;11.79987;11.36782
12.31958;11.7873;11.35721
12.30943;11.77577;11.34284
12.29623;11.76403;11.33248
12.2861;11.75112;11.3195
12.27611;11.73953;11.30808
12.26442;11.72992;11.2979
12.24246;11.72469;11.29142
12.24246;11.70524;11.28614
12.22951;11.70527;11.2606
12.21903;11.69605;11.25366
12.20968;11.6869;11.24625
12.19837;11.6777;11.24028
12.19149;11.67402;11.22927
12.18467;11.66519;11.22927
12.17773;11.65989;11.22447
12.16878;11.65119;11.21856
12.16192;11.64158;11.21428
12.14849;11.63521;11.20616
12.14849;11.62726;11.20616
12.14298;11.6196;11.20391
12.13868;11.61291;11.19745
12.13304;11.60461;11.19191
12.12752;11.59654;11.18727
12.11642;11.59384;11.17083
12.11642;11.56858;11.17083
12.1109;11.56858;11.16111
12.10616;11.56564;11.14209
12.10144;11.55919;11.14209
12.09676;11.55436;11.13225
12.08382;11.54719;11.10744
12.0795;11.53927;11.09866
12.07575;11.53321;11.09866
12.06914;11.5259;11.0825
12.06447;11.51868;11.0825
12.05814;11.51282;11.0643
12.05421;11.50352;11.0643
12.05077;11.49328;11.05484
12.04753;11.48225;11.04658
12.04434;11.47145;11.03839
12.04021;11.45887;11.02984
12.03448;11.4468;11.01455
12.02339;11.4147;11.01455
12.01568;11.4147;11.00795
12.01568;11.40582;11.00277
12.00932;11.3966;10.99193
12.0026;11.38647;10.99193
11.98787;11.37892;10.98229
11.98787;11.3728;10.98229
11.97982;11.36632;10.97736
11.97038;11.3606;10.97304
11.96088;11.35455;10.96842
11.95061;11.34737;10.95985
11.91603;11.33612;10.94902
11.91603;11.3294;10.94902
11.90363;11.3294;10.94568
11.89184;11.32417;10.94152
11.88026;11.31966;10.93713
11.86876;11.30602;10.93294
11.85677;11.30081;10.92882
11.84544;11.30081;10.92364
11.83428;11.29414;10.91917
11.81961;11.28807;10.91474
11.8086;11.28174;10.90995
11.80062;11.26622;10.90556
11.78094;11.26622;10.90194
11.75508;11.25986;10.89748
11.74268;11.24678;10.89299
11.73085;11.24017;10.8893
11.73085;11.24017;10.87908
11.71871;11.2173;10.87908
11.70698;11.20802;10.87531
11.70698;11.20802;10.87152
11.70128;11.20023;10.86918
11.69544;11.18443;10.86618
11.69014;11.17389;10.86212
11.68498;11.17389;10.85767
11.67449;11.15737;10.85348
11.67449;11.15737;10.85019
11.66935;11.15119;10.84767
11.66423;11.14502;10.84522
11.65888;11.13459;10.84237
11.65477;11.13459;10.83868
11.63336;11.12952;10.83549
11.6277;11.12189;10.8328
11.62145;11.11555;10.83126
11.61317;11.10941;10.82419
11.60634;11.09158;10.82474
11.59979;11.0856;10.82565
11.59332;11.0856;10.82653
11.58723;11.0817;10.82785
11.58094;11.07796;10.82785
11.57642;11.06946;10.82817
11.5688;11.06946;10.8282
11.56098;11.06696;10.82737
11.55301;11.06232;10.82678
11.54452;11.05924;10.82622
11.53531;11.05583;10.82596
11.5154;11.05583;10.82555
11.5154;11.05425;10.82237
11.50519;11.05263;10.82102
11.49373;11.04834;10.82102
11.48267;11.0464;10.81924
11.47185;11.04466;10.81544
11.45012;11.04117;10.81544
