Popup;Enlarge;Panel
;;
14.80242;14.90774;14.52073
14.79834;14.89858;14.50468
14.79342;14.89858;14.50468
14.78851;14.87858;14.47147
14.78463;14.86718;14.45534
14.76949;14.85493;14.44011
14.76386;14.84249;14.42457
14.76386;14.82948;14.40992
14.75809;14.81683;14.39664
14.74736;14.8036;14.37489
14.74736;14.79043;14.36234
14.73433;14.77754;14.3505
14.73433;14.76441;14.3394
14.72872;14.76441;14.32839
14.72297;14.73876;14.3175
14.70998;14.7257;14.3066
14.70998;14.71268;14.2966
14.70612;14.7009;14.28663
14.70253;14.68799;14.27717
14.69947;14.67548;14.26817
14.69044;14.66227;14.25508
14.69044;14.64844;14.24529
14.6864;14.6344;14.23694
14.68243;14.62255;14.23694
14.68092;14.60852;14.21581
14.67651;14.59436;14.20708
14.67195;14.58165;14.19819
14.66238;14.55036;14.18964
14.66238;14.53406;14.17974
14.65775;14.51817;14.17121
14.6538;14.51817;14.1626
14.65002;14.4869;14.1544
14.64672;14.47305;14.12484
14.64249;14.45842;14.11283
14.63852;14.44318;14.09997
14.63458;14.42763;14.08637
14.63189;14.41146;14.07195
14.62665;14.39415;14.05716
14.61749;14.37837;14.04359
14.61749;14.36416;14.02918
14.61265;14.35101;14.01444
14609;14.33793;14.00099
14.6038;14.32443;13.98553
14.59812;14.31935;13.96983
14.58404;14.30543;13.95482
14.58404;14.30543;13.93845
14.57755;14.27903;13.92181
14.56976;14.27903;13.92181
14.56219;14.25175;13.89334
14.55434;14.23943;13.88104
14.53953;14.22699;13.87
14.53326;14.22699;13.85952
14.52755;14.20547;13.84939
14.52317;14.19326;13.83088
14.51833;14.19326;13.82131
14.5138;14.1696;13.82131
14.51209;14.15863;13.81309
14.50708;14.14854;13.79621
14.50083;14.13692;13.79172
14.4917;14.12654;13.78385
14.48252;14.11624;13.78385
14.46237;14.10247;13.7703
14.45091;14.08257;13.76218
14.45091;14.07268;13.76218
14.43826;14.07268;13.75598
14425;14.06216;13.7389
14.41051;14.03615;13.73081
14.38151;14.02263;13.72606
14.38151;14.00838;13.72606
14.36452;14.00838;13.70825
14.34951;13.98228;13.70825
14.33254;13.98228;13.69168
14.31526;13.95679;13.68633
14.29908;13.94308;13.68633
14.24844;13.92865;13.68117
14.24844;13.91481;13.67512
14.23463;13.89944;13.66267
14.22166;13.88468;13.66267
14.1951;13.8664;13.65782
14.18331;13.85437;13.65081
14.18331;13.84276;13.64346
14.17369;13.83363;13.6286
14.16182;13.82215;13.6286
14.15055;13.81025;13.61901
14.12967;13.79733;13.61187
14.12967;13.75574;13.60144
14.11963;13.74331;13.59082
14.10793;13731;13.5797
14.09762;13.7057;13.55784
14.08729;13.7057;13.55784
14.05654;13.69183;13.54733
14.05654;13.68173;13.53427
14.04771;13.67183;13.52086
14.03798;13.65927;13.51039
14.02962;13.64962;13.46318
14.01156;13.63094;13.46318
14.00313;13.63094;13.45273
14.00313;13.62206;13.44405
13.99505;13.61426;13.42769
13.98424;13.60802;13.42769
13.97646;13.59717;13.42052
13.96227;13.59717;13.40644
13.95382;13.5923;13.40644
13.94398;13.58441;13.39953
13.93463;13.57927;13.3902
13.92534;13.57385;13.38707
13.90717;13.56467;13.38707
13.89741;13.56016;13.38206
13.89741;13.55525;13.38042
13.88692;13.54952;13.37686
13.87525;13.54418;13.37752
13.86221;13.53821;13.37752
13.83545;13.53515;13.37743
13.83545;13.52676;13.37824
13.82139;13.51702;13.38069
13.80702;13.50877;13.38069
13.79312;13.4966;13.38529
13.77866;13.48406;13.38582
13.73514;13.48406;13.38578
13.73514;13.47119;13.38675
13.72101;13.44501;13.38621
13.70728;13.44501;13.38513
13.69502;13.43109;13.3831
13.66522;13.40283;13.38115
13.66522;13.40283;13.37803
13.65702;13.37098;13.37504
13.64898;13.35595;13.37274
13.64147;13.35595;13.36937
13.63382;13.32991;13.36705
13.6253;13.31713;13.36386
13.61779;13.30457;13.36089
13.61101;13.29534;13.35797
13.60379;13.28364;13.35728
13.59785;13.27297;13.35492
13.59242;13.25143;13.35322
13.58308;13.23919;13.35373
13.58308;13.23919;13.3531
13.57945;13.22863;13.3534
13.57593;13.20843;13.35306
13.57279;13.19656;13.35306
13.55992;13.18733;13.35428
13.55992;13.17881;13.35428
13.55541;13.16585;13.35554
13.55146;13.15734;13.35653
13.54836;13.14842;13.35653
13.54628;13.13941;13.35786
13.54419;13.13062;13.35955
13.54221;13.12263;13.36135
13.54016;13.11245;13.3636
13.53792;13.10456;13.36667
13.53482;13.09623;13.36882
13.52783;13.09623;13.36882
13.52783;13.08008;13.37091
13.52429;13.07051;13.37887
13.52098;13.06183;13.37887
13.51812;13.06183;13.39525
13.51572;13.04519;13.39525
13.5122;12.5133;13.40192
13.5105;12.50577;13.4091
13.50329;12.91591;13.41633
13.50213;12.90756;13.42344
13.50158;12.8993;13.44013
13.50158;12.89176;13.44013
13.50123;12.87447;13.44936
13.50048;12.84561;13.45837
13.49932;12.83881;13.46718
13.49801;12.83881;13.47625
13.49605;12.82405;13.48594
13.49535;12.81822;13.49639
13.49485;12.8111;13.50671
13.49418;12.8111;13.51592
13.49357;12794;13.52428
13.49335;12794;13.53224
13.49297;12.78083;13.55392
13.49262;12.78083;13.56145
13.49216;12.76678;13.56891
13.49151;12.76235;13.57573
13.49075;12.75277;13.58378
13.48958;12.74817;13.59265
13.48958;12.75394;13.60159
13.48909;12.74894;13.61155
13.48851;12.74417;13.62214
13.48822;12.74995;13.63291
13.48816;12.74488;13644
13.4885;12.74;13.65432
13.48876;12.73524;13.66174
13.4892;12.73235;13.66793
13.4893;12.73235;13.67457
13.48936;12.73109;13.6829
13.48938;12.73217;13.6967
13.48953;12.73382;13.70315
13.48978;12.73382;13.70315
13.4904;12.77578;13.70778
13.49078;12.7743;13.71252
13.49105;12.77149;13.72559
13.49128;12.76472;13.72559
13.49118;12.76472;13.73341
13.49118;12.75754;13.74352
13.49157;12.75186;13.75151
13.49179;12.74328;13.76631
13.49201;12.73312;13.7744
13.49303;12.72164;13.7744
13.49303;12.70975;13.78107
13.49327;12.69889;13.78799
13.4936;12.68938;13.79428
13.49331;12.68236;13.8007
13.49257;12.67577;13.82128
13.48989;12.66613;13.82128
13488;12.66613;13.8288
13.48682;12.66022;13.83452
13.48568;12.65228;13.84036
13.48484;12.64387;13.84698
13.48405;12.63493;13.85327
