Popup;Enlarge;Panel
;;
15.00525;15.04447;14.66289
14.99902;14.99618;14.65637
14.99902;14.99618;14.64833
14.9954;14.97901;14.64069
14.99167;14.96259;14.64069
14.98449;14.94764;14.62583
14.98449;14.93252;14.62583
14.98285;14.91838;14.60883
14.97904;14.90475;14.60056
14.97576;14.89266;14.59205
14.97134;14.88091;14.59205
14.96218;14.86967;14.5771
14.96218;14.86008;14.57053
14.95888;14.85145;14.55566
14.95439;14.84471;14.55566
14.94984;14.83728;14.54779
14.93989;14.82964;14.54132
14.93479;14.82141;14.53644
14.93479;14.79806;14.53196
14.92905;14.79806;14.52689
14.92343;14.79242;14.52022
14.91914;14.78672;14.52022
14.91385;14.77782;14.50581
14.90317;14.77252;14.49945
14.90317;14.76828;14.49307
14.8981;14.7607;14.49307
14.89343;14.7561;14.47039
14.89009;14.75165;14.47039
14.87628;14.74436;14.46242
14.87202;14.74012;14.45403
14.87202;14.73656;14.44613
14.86767;14.73282;14.43967
14.86167;14.72896;14.4333
14.86167;14.72441;14.4271
14.85798;14.72128;14.42128
14.85468;14.71734;14.41477
14.84974;14.71268;14.40848
14.83797;14.70669;14.3981
14.83216;14.70015;14.3981
14.83216;14.69272;14.39208
14.82671;14.66721;14.38667
14.82112;14.66721;14.38123
14.81529;14.65978;14.37544
14.80949;14.65029;14.37016
14.7966;14.6407;14.36532
14.7966;14.63302;14.36013
14.78939;14.62273;14.35436
14.78169;14.62273;14.34737
14.77168;14.60055;14.34019
14.75935;14.60055;14.33245
14.73139;14.59054;14.32497
14.73139;14.57913;14.3188
14.71515;14.55602;14.31447
14.69897;14.54256;14.30948
14.68335;14.52836;14.30398
14.66787;14.51287;14.29452
14.63193;14.51287;14.29452
14.63193;14461;14.29065
14.61634;14461;14.2875
14.60128;14.44628;14.28494
14.58685;14.43367;14.28263
14.57234;14.41907;14.28124
14.53018;14.40418;14.2805
14.51824;14.38068;14.27942
14.51824;14.38068;14.2796
14.50749;14.36849;14.28021
14.49928;14.35888;14.28094
14.47748;14.34773;14.28236
14.47748;14.33716;14.28268
14.46634;14.32885;14.2806
14.45607;14.32051;14.2805
14.44672;14.31255;14.28046
14.43694;14.30376;14.28046
14.42019;14.29375;14.27771
14.42019;14.2841;14.27747
14.41246;14.27463;14.27726
14.40425;14.26593;14.27746
14.39743;14.25845;14.27781
14.38749;14.25138;14.27903
14.37271;14.24453;14.27903
14.37271;14.23791;14.27903
14.36505;14.22989;14.27842
14.35413;14.20453;14.27842
14.34742;14.19724;14.27788
14.34113;14.19724;14.27743
14.33168;14.1899;14.27751
14.3251;14.18342;14.27705
14.31674;14.17725;14.27817
14.31005;14.16847;14.27624
14.30296;14.16251;14.27423
14.29549;14.15552;14.27259
14.27279;14.13773;14.26997
14.26358;14.13773;14.26714
14.26358;14.13155;14.26714
14.25297;14.12471;14.26018
14.23039;14.1167;14.25696
14.23039;14.10708;14.25507
14.21791;14.07722;14.25183
14.20462;14.07722;14.24866
14.19027;14.06534;14.24568
14.17476;14.05306;14.24255
14.15795;14.04084;14.23881
14.12143;14.01845;14.23494
14.12143;14.01845;14.2306
14.10298;14.00649;14.2306
14.08278;13.99388;14.22781
14.06185;13.98114;14.22019
14.04185;13.96868;14.21771
14.00182;13.94078;14.21384
14.00182;13.94078;14.21384
13.98354;13.92747;14.20591
13.96671;13.91686;14.20591
13.95148;13.90658;14.19716
13.93813;13.89771;14.19716
13.91019;13.88055;14.19378
13.91019;13.87644;14.18618
13.89701;13.87644;14.18618
13.88388;13.87307;14.1833
13.87219;13.87429;14.17935
13.86536;13.87544;14.17627
13.84772;13.87544;14.17282
13.84772;13.88198;14.16981
13.84043;13.8842;14.1667
